Name,Gender,Experience,Degree,Overseas,GPA,country,continent,Lat,Lon
Jolynn Evangelista,Female,0.5,Engineering,0,3.67,Tuvalu,Oceania,-33.9333,18.5822
Janet Bohling,Female,4.5,Medicine,1,3.96,Bahamas,America,32.0667,34.7667
Abbie Baber,Female,4,Marketing,0,3.31,Belarus,Europe,9.0243,38.7492
Shawn Liss,Male,4,Finance,1,3.99,Venezuela,America,38.6319,-122.8971
Terry Jahn,Male,3.5,Accounting,1,3.53,Nepal,Asia,40.7143,-74.006
Crista Ebel,Female,3.5,Mathematics,1,3.54,Australia,Oceania,58.4667,-6.2833
Keva Trahan,Female,5.5,Data Science,1,3.8,Somalia,Africa,41.3984,2.1741
Bee Schall,Female,7,Engineering,1,3.28,Bulgaria,Europe,37.7749,-122.4194
Mazie Ly,Female,5.5,Engineering,1,3.85,Scotland,Europe,-17.9333,25.8333
Allyn Mani,Female,1,Engineering,0,3.17,South Africa,Africa,31.6333,-8
Elouise Isler,Female,4.5,Marketing,0,3.4,Kyrgyzstan,Asia,-33.9333,18.5822
Mireya Billie,Female,2.5,Finance,0,3.9,Bahrain,Asia,32.0667,34.7667
Serafina An,Female,3,Engineering,1,3.21,Russia,Asia,-33.9333,18.5822
Ethan Ishii,Male,6.5,Medicine,1,3.91,Russia,Asia,32.0667,34.7667
Brianne Rizzuto,Female,2,Marketing,1,3.51,China,Asia,-33.9333,18.5822
Mora Bryson,Female,3,Finance,1,3.74,Israel,Asia,32.0667,34.7667
Carolee Tallman,Female,5,Medicine,1,3.58,Israel,Asia,-33.9333,18.5822
Desmond Super,Male,5,Marketing,1,3.9,Tuvalu,Oceania,32.0667,34.7667
Joni Selman,Female,5.5,Finance,1,3.2,Bahamas,America,37.7749,-122.4194
Marva Stoute,Female,5,Finance,1,3.72,Belarus,Europe,37.7749,-122.4194
Marilee Rentschler,Female,6,Engineering,0,3.35,Venezuela,America,37.7749,-122.4194
Izola Whorton,Female,6,Mathematics,0,3.57,Nepal,Asia,37.7749,-122.4194
Tijuana Facey,Female,0,Data Science,0,3.37,Australia,Oceania,37.7749,-122.4194
Glenna Vannoy,Female,0.5,Finance,0,3.02,Somalia,Africa,37.7749,-122.4194
Asha Randazzo,Female,4.5,Engineering,1,3.16,Bulgaria,Europe,37.7749,-122.4194
Marina Martini,Female,5,Engineering,0,3.87,Scotland,Europe,37.7749,-122.4194
Natividad Villareal,Female,7,Engineering,1,3.67,South Africa,Africa,37.7749,-122.4194
Audra Siddiqui,Female,6,Mathematics,1,3.06,Kyrgyzstan,Asia,9.0243,38.7492
Tosha Lucky,Female,6.5,Data Science,1,3.77,Bahrain,Asia,38.6319,-122.8971
Tiffani Wingham,Female,5.5,Mathematics,1,3.98,Russia,Asia,40.7143,-74.006
Ursula Bogart,Female,4.5,Data Science,1,3.98,Russia,Asia,58.4667,-6.2833
Zoraida Fluharty,Female,0,Mathematics,1,3.96,China,Asia,41.3984,2.1741
Laverne Weinberg,Male,7,Data Science,1,3.42,Israel,Asia,9.0243,38.7492
Ezequiel Vann,Male,5,Medicine,1,3.34,Israel,Asia,38.6319,-122.8971
Farrah Wollman,Female,6.5,Medicine,1,3.52,Tuvalu,Oceania,40.7143,-74.006
Tamika Knox,Female,6.5,Medicine,0,3.86,Bahamas,America,58.4667,-6.2833
Gregg Lussier,Male,7.5,Medicine,1,3.68,Belarus,Europe,41.3984,2.1741
Kristyn Lucht,Female,4.5,Medicine,1,3.94,Venezuela,America,9.0243,38.7492
Shirlee Ming,Female,6.5,Medicine,0,3.32,Nepal,Asia,38.6319,-122.8971
Mac Jorgensen,Male,6,Medicine,0,3.1,Australia,Oceania,40.7143,-74.006
Rosio Swartwood,Female,6.5,Mathematics,0,3.3,Somalia,Africa,58.4667,-6.2833
Jasmine Grieb,Female,2,Engineering,0,3.97,Bulgaria,Europe,41.3984,2.1741
Rey Posada,Male,3.5,Medicine,0,3.72,Scotland,Europe,41.3984,2.1741
Arnoldo Karls,Male,4,Marketing,0,3.45,South Africa,Africa,-33.9333,18.5822
Tina Caddy,Female,1.5,Finance,0,3.77,Kyrgyzstan,Asia,32.0667,34.7667
January Hambly,Female,1,Accounting,1,3.05,Bahrain,Asia,9.0243,38.7492
Sari Shankle,Female,7,Mathematics,1,3.22,Russia,Asia,38.6319,-122.8971
Glenn Toole,Male,4.5,Data Science,1,3.76,Russia,Asia,40.7143,-74.006
Elvia Enriguez,Female,4.5,Engineering,1,3.27,China,Asia,58.4667,-6.2833
Lena Abila,Female,3.5,Engineering,1,3.63,Israel,Asia,41.3984,2.1741
Ashanti Landgraf  ,Female,1.5,Engineering,1,3.72,Israel,Asia,37.7749,-122.4194
Les Ruggles  ,Male,2.5,Marketing,0,3.42,Tuvalu,Oceania,-17.9333,25.8333
Eva Medcalf  ,Female,1,Finance,1,3.81,Bahamas,America,31.6333,-8
Olympia Sigmund  ,Female,0,Engineering,1,3.49,Belarus,Europe,-33.9333,18.5822
Xenia Free  ,Female,6,Medicine,1,3.94,Venezuela,America,32.0667,34.7667
Linda Gupton  ,Female,1,Marketing,1,3.66,Nepal,Asia,-33.9333,18.5822
Christene Forde  ,Female,0.5,Finance,1,3.68,Australia,Oceania,32.0667,34.7667
Krystina Grund  ,Female,2,Medicine,1,3.33,Somalia,Africa,-33.9333,18.5822
Evelynn Bullington  ,Female,2,Marketing,1,3.55,Bulgaria,Europe,32.0667,34.7667
Soila Rollinson  ,Female,6.5,Finance,1,3.83,Scotland,Europe,-33.9333,18.5822
Catharine Stuart  ,Female,4.5,Finance,1,3.6,South Africa,Africa,32.0667,34.7667
Ramon Long  ,Male,6,Engineering,0,3.82,Kyrgyzstan,Asia,37.7749,-122.4194
Nicola Edmundson  ,Female,0.5,Mathematics,1,3.05,Bahrain,Asia,37.7749,-122.4194
Teresita Longino  ,Female,2,Data Science,0,4,Russia,Asia,37.7749,-122.4194
Miriam Treat  ,Female,2,Finance,1,3.21,Russia,Asia,37.7749,-122.4194
Adolph Breeding  ,Male,7,Engineering,1,3.42,China,Asia,37.7749,-122.4194
Roseann Greve  ,Female,0.5,Engineering,1,3.55,Israel,Asia,37.7749,-122.4194
Gerry Santamaria  ,Male,4,Engineering,1,3.27,Israel,Asia,37.7749,-122.4194
Stacie Pridgen  ,Female,0.5,Mathematics,1,3.5,Tuvalu,Oceania,37.7749,-122.4194
Candi Malecha  ,Female,1.5,Data Science,1,3.55,Bahamas,America,37.7749,-122.4194
Prince Eshelman  ,Male,6.5,Mathematics,0,3.9,Belarus,Europe,9.0243,38.7492
Olive Cruzan  ,Male,3,Data Science,0,3.17,Venezuela,America,38.6319,-122.8971
Matt Domina  ,Male,6,Mathematics,0,3.3,Nepal,Asia,40.7143,-74.006
Lonnie Pineau  ,Male,6,Data Science,1,3.24,Australia,Oceania,58.4667,-6.2833
Abram Fiorito  ,Male,7,Medicine,1,3.69,Somalia,Africa,41.3984,2.1741
Lahoma Brannock  ,Female,6.5,Medicine,1,3.27,Bulgaria,Europe,9.0243,38.7492
Mozell Spahn  ,Female,7.5,Medicine,1,3.67,Scotland,Europe,38.6319,-122.8971
Brande Parras  ,Female,1,Medicine,1,3.37,South Africa,Africa,40.7143,-74.006
Lakeisha Friedrichs  ,Female,6.5,Medicine,1,3.71,Kyrgyzstan,Asia,58.4667,-6.2833
Particia Eifert  ,Female,6,Medicine,1,3.93,Bahrain,Asia,41.3984,2.1741
King Mccluney  ,Male,4,Medicine,1,3.65,Russia,Asia,9.0243,38.7492
Hedy Ellsworth  ,Female,5.5,Mathematics,0,3.08,Russia,Asia,38.6319,-122.8971
Ivan Rusher  ,Male,7,Engineering,0,3.88,China,Asia,40.7143,-74.006
Darla Goulette  ,Female,3,Medicine,0,3.66,Israel,Asia,58.4667,-6.2833
Federico Ketner  ,Male,4.5,Marketing,0,3.56,Israel,Asia,41.3984,2.1741
Christina Mullins  ,Female,0.5,Finance,1,3.04,Israel,Asia,41.3984,2.1741
Malorie Kensey  ,Female,4,Accounting,0,3.28,Bulgaria,Europe,-33.9333,18.5822
Quintin Shriver  ,Male,2,Mathematics,1,3.49,Scotland,Europe,32.0667,34.7667
Norberto Laprade  ,Male,1,Data Science,1,3.13,South Africa,Africa,9.0243,38.7492
Jenna Hogle  ,Female,0.5,Engineering,1,3.18,Kyrgyzstan,Asia,38.6319,-122.8971
Ileen Akerley  ,Female,0.5,Engineering,1,3.47,Bahrain,Asia,40.7143,-74.006
Thomasina Mayhugh  ,Female,5.5,Engineering,1,3.98,Russia,Asia,58.4667,-6.2833
Santo Koeller  ,Male,2,Marketing,1,3.75,Russia,Asia,41.3984,2.1741
Raisa Vizcarra  ,Female,1.5,Finance,1,3.44,China,Asia,37.7749,-122.4194
Eddy Barefoot  ,Male,6,Engineering,1,3.98,Bulgaria,Europe,-17.9333,25.8333
Easter Cedillo  ,Female,3.5,Medicine,1,3.14,Scotland,Europe,31.6333,-8
Lyndsay Stull  ,Female,1.5,Marketing,0,3.62,South Africa,Africa,-33.9333,18.5822
Pearlie Knopf  ,Female,7.5,Finance,1,3.59,Kyrgyzstan,Asia,32.0667,34.7667
Carson Speno  ,Male,4.5,Medicine,1,3.85,Bahrain,Asia,-33.9333,18.5822
Shayla Newquist  ,Female,6,Marketing,0,3.55,Russia,Asia,32.0667,34.7667
Buck Hayse  ,Male,3.5,Finance,0,3.65,Russia,Asia,-33.9333,18.5822
Gretta Harshbarger  ,Female,2.5,Finance,0,3.37,China,Asia,32.0667,34.7667
Selene Bazemore  ,Female,5.5,Engineering,0,3.54,Bulgaria,Europe,-33.9333,18.5822
Eloise Yuhas  ,Female,0.5,Mathematics,0,3.87,Scotland,Europe,32.0667,34.7667
Albertha Knell  ,Female,1.5,Data Science,0,3.62,South Africa,Africa,37.7749,-122.4194
Tequila Gama  ,Female,2,Finance,0,3.14,Kyrgyzstan,Asia,37.7749,-122.4194
Bev Mattern  ,Female,2.5,Engineering,1,3.84,Bahrain,Asia,37.7749,-122.4194
Barrie Atchison  ,Female,0,Engineering,1,3.5,Russia,Asia,37.7749,-122.4194
Hugo Jiron  ,Male,7,Engineering,1,3.46,Russia,Asia,37.7749,-122.4194
Dylan Tutson  ,Male,6,Mathematics,1,3.05,China,Asia,37.7749,-122.4194
Dina Munday  ,Female,7,Data Science,1,3.34,Bulgaria,Europe,37.7749,-122.4194
Keira Aker  ,Female,3,Mathematics,1,3.55,Scotland,Europe,37.7749,-122.4194
Jenifer Layden  ,Female,6.5,Data Science,0,3.43,South Africa,Africa,37.7749,-122.4194
Tamika Schwein  ,Female,4.5,Mathematics,1,3.42,Kyrgyzstan,Asia,9.0243,38.7492
Vonda Pontes  ,Female,4,Data Science,1,3.47,Bahrain,Asia,38.6319,-122.8971
Katrina Herdon  ,Female,2.5,Medicine,1,3.35,Russia,Asia,40.7143,-74.006
Lesley Goodridge  ,Male,6.5,Medicine,1,3.99,Russia,Asia,58.4667,-6.2833
Amberly Nygren  ,Female,6.5,Medicine,1,3.53,China,Asia,41.3984,2.1741
